Stock Information for Ticker: FB
High         2.020886e+02
Low          1.974644e+02
Open         1.997521e+02
Close        1.998744e+02
Volume       2.030946e+07
Adj Close    1.998744e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    202.088649   197.464440   199.752122   199.874404  2.030946e+07   199.874404
std      61.474315    59.930320    60.630514    60.743177  1.239795e+07    60.743177
min     116.480003   113.550003   114.480003   115.050003  5.324760e+06   115.050003
25%     162.105000   157.687504   159.745003   159.700001  1.320985e+07   159.700001
50%     183.754997   179.930000   181.830002   181.744995  1.719975e+07   181.744995
75%     233.390003   227.282501   230.212502   231.397495  2.311872e+07   231.397495
max     384.329987   378.809998   381.500000   382.179993  1.698037e+08   382.179993


             ds       trend  yhat_lower  yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
82   2017-01-09  135.365209  114.428796  141.714925   135.365209   135.365209       -8.055154             -8.055154             -8.055154 -1.796236     -1.796236     -1.796236  -6.258918     -6.258918     -6.258918                   0.0                         0.0                         0.0  127.310055
83   2017-01-10  135.489201  114.322702  142.282799   135.489201   135.489201       -7.293666             -7.293666             -7.293666 -1.300205     -1.300205     -1.300205  -5.993461     -5.993461     -5.993461                   0.0                         0.0                         0.0  128.195535
84   2017-01-11  135.613193  115.963373  142.870154   135.613193   135.613193       -7.078386             -7.078386             -7.078386 -1.362021     -1.362021     -1.362021  -5.716366     -5.716366     -5.716366                   0.0                         0.0                         0.0  128.534807
85   2017-01-12  135.737185  115.859999  143.017866   135.737185   135.737185       -6.836569             -6.836569             -6.836569 -1.404170     -1.404170     -1.404170  -5.432398     -5.432398     -5.432398                   0.0                         0.0                         0.0  128.900616
86   2017-01-13  135.861177  115.698126  142.769012   135.861177   135.861177       -6.586801             -6.586801             -6.586801 -1.440414     -1.440414     -1.440414  -5.146388     -5.146388     -5.146388                   0.0                         0.0                         0.0  129.274376
87   2017-01-17  136.357145  117.817347  145.354914   136.357145   136.357145       -5.375402             -5.375402             -5.375402 -1.300205     -1.300205     -1.300205  -4.075197     -4.075197     -4.075197                   0.0                         0.0                         0.0  130.981742
88   2017-01-18  136.481137  116.882800  146.088112   136.481137   136.481137       -5.208866             -5.208866             -5.208866 -1.362021     -1.362021     -1.362021  -3.846845     -3.846845     -3.846845                   0.0                         0.0                         0.0  131.272271
89   2017-01-19  136.605129  118.169591  145.239556   136.605129   136.605129       -5.045649             -5.045649             -5.045649 -1.404170     -1.404170     -1.404170  -3.641478     -3.641478     -3.641478                   0.0                         0.0                         0.0  131.559480
90   2017-01-20  136.729121  117.633998  145.626699   136.729121   136.729121       -4.902287             -4.902287             -4.902287 -1.440414     -1.440414     -1.440414  -3.461873     -3.461873     -3.461873                   0.0                         0.0                         0.0  131.826834
91   2017-01-23  137.101097  119.157516  146.247318   137.101097   137.101097       -4.893283             -4.893283             -4.893283 -1.796236     -1.796236     -1.796236  -3.097047     -3.097047     -3.097047                   0.0                         0.0                         0.0  132.207814
