Stock Information for Ticker: NFLX
High         3.358255e+02
Low          3.258369e+02
Open         3.309005e+02
Close        3.310286e+02
Volume       7.682605e+06
Adj Close    3.310286e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    335.825508   325.836892   330.900469   331.028585  7.682605e+06   331.028585
std     136.380696   132.374693   134.375118   134.432008  5.080908e+06   134.432008
min      95.379997    93.260002    95.040001    94.559998  1.144000e+06    94.559998
25%     198.597496   194.365002   196.597500   196.072502  4.588450e+06   196.072502
50%     341.535004   330.909988   336.139999   336.764999  6.210600e+06   336.764999
75%     448.637497   432.650009   441.955002   440.182495  9.149925e+06   440.182495
max     613.849976   593.989990   594.690002   606.710022  5.841040e+07   606.710022


             ds       trend  yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
66   2016-12-12  125.831983   82.675827   131.023080   125.831983   125.831983      -19.377023            -19.377023            -19.377023  2.452267      2.452267      2.452267 -21.829289    -21.829289    -21.829289                   0.0                         0.0                         0.0  106.454960
67   2016-12-13  125.954989   85.390753   131.362358   125.954989   125.954989      -17.611778            -17.611778            -17.611778  4.021108      4.021108      4.021108 -21.632886    -21.632886    -21.632886                   0.0                         0.0                         0.0  108.343212
68   2016-12-14  126.077996   82.667449   131.713454   126.077996   126.077996      -18.378461            -18.378461            -18.378461  3.052514      3.052514      3.052514 -21.430975    -21.430975    -21.430975                   0.0                         0.0                         0.0  107.699535
69   2016-12-15  126.201003   85.675758   131.127551   126.201003   126.201003      -17.899911            -17.899911            -17.899911  3.327020      3.327020      3.327020 -21.226931    -21.226931    -21.226931                   0.0                         0.0                         0.0  108.301092
70   2016-12-16  126.324010   85.437489   131.665899   126.324010   126.324010      -18.559585            -18.559585            -18.559585  2.464035      2.464035      2.464035 -21.023621    -21.023621    -21.023621                   0.0                         0.0                         0.0  107.764424
71   2016-12-19  126.693030   86.084511   131.693252   126.693030   126.693030      -17.983831            -17.983831            -17.983831  2.452267      2.452267      2.452267 -20.436098    -20.436098    -20.436098                   0.0                         0.0                         0.0  108.709199
72   2016-12-20  126.816037   88.186723   135.515066   126.816037   126.816037      -16.228242            -16.228242            -16.228242  4.021108      4.021108      4.021108 -20.249350    -20.249350    -20.249350                   0.0                         0.0                         0.0  110.587794
73   2016-12-21  126.939044   86.600104   133.693931   126.939044   126.939044      -17.012980            -17.012980            -17.012980  3.052514      3.052514      3.052514 -20.065494    -20.065494    -20.065494                   0.0                         0.0                         0.0  109.926063
74   2016-12-22  127.062050   88.895553   135.692645   127.062050   127.062050      -16.554964            -16.554964            -16.554964  3.327020      3.327020      3.327020 -19.881984    -19.881984    -19.881984                   0.0                         0.0                         0.0  110.507086
75   2016-12-23  127.185057   87.417890   131.994155   127.185057   127.185057      -17.231217            -17.231217            -17.231217  2.464035      2.464035      2.464035 -19.695252    -19.695252    -19.695252                   0.0                         0.0                         0.0  109.953840
76   2016-12-27  127.677084   89.256451   136.012617   127.677084   127.677084      -14.792422            -14.792422            -14.792422  4.021108      4.021108      4.021108 -18.813529    -18.813529    -18.813529                   0.0                         0.0                         0.0  112.884663
77   2016-12-28  127.800091   89.190958   136.859300   127.800091   127.800091      -15.475210            -15.475210            -15.475210  3.052514      3.052514      3.052514 -18.527724    -18.527724    -18.527724                   0.0                         0.0                         0.0  112.324882
78   2016-12-29  127.923098   90.719360   137.743125   127.923098   127.923098      -14.874623            -14.874623            -14.874623  3.327020      3.327020      3.327020 -18.201642    -18.201642    -18.201642                   0.0                         0.0                         0.0  113.048475
79   2016-12-30  128.046105   89.220753   137.252340   128.046105   128.046105      -15.364026            -15.364026            -15.364026  2.464035      2.464035      2.464035 -17.828061    -17.828061    -17.828061                   0.0                         0.0                         0.0  112.682079
80   2017-01-03  128.538132   93.602412   140.603653   128.538132   128.538132      -11.707189            -11.707189            -11.707189  4.021108      4.021108      4.021108 -15.728297    -15.728297    -15.728297                   0.0                         0.0                         0.0  116.830943
81   2017-01-04  128.661128   93.722189   140.269792   128.661128   128.661128      -11.973448            -11.973448            -11.973448  3.052514      3.052514      3.052514 -15.025963    -15.025963    -15.025963                   0.0                         0.0                         0.0  116.687679
82   2017-01-05  128.784123   96.372627   141.093760   128.784123   128.784123      -10.918978            -10.918978            -10.918978  3.327020      3.327020      3.327020 -14.245998    -14.245998    -14.245998                   0.0                         0.0                         0.0  117.865145
83   2017-01-06  128.907119   94.618908   141.199821   128.907119   128.907119      -10.923352            -10.923352            -10.923352  2.464035      2.464035      2.464035 -13.387388    -13.387388    -13.387388                   0.0                         0.0                         0.0  117.983766
84   2017-01-09  129.276106   98.255407   143.732527   129.276106   129.276106       -7.900265             -7.900265             -7.900265  2.452267      2.452267      2.452267 -10.352532    -10.352532    -10.352532                   0.0                         0.0                         0.0  121.375841
85   2017-01-10  129.399101  101.112361   148.421731   129.399101   129.399101       -5.178949             -5.178949             -5.178949  4.021108      4.021108      4.021108  -9.200057     -9.200057     -9.200057                   0.0                         0.0                         0.0  124.220152
86   2017-01-11  129.522097  102.309556   147.005965   129.522097   129.522097       -4.934560             -4.934560             -4.934560  3.052514      3.052514      3.052514  -7.987074     -7.987074     -7.987074                   0.0                         0.0                         0.0  124.587537
87   2017-01-12  129.645092  104.072043   150.333575   129.645092   129.645092       -3.394645             -3.394645             -3.394645  3.327020      3.327020      3.327020  -6.721665     -6.721665     -6.721665                   0.0                         0.0                         0.0  126.250447
88   2017-01-13  129.768088  104.680761   149.140056   129.768088   129.768088       -2.949104             -2.949104             -2.949104  2.464035      2.464035      2.464035  -5.413139     -5.413139     -5.413139                   0.0                         0.0                         0.0  126.818984
89   2017-01-17  130.260070  111.035808   158.322106   130.260070   130.260070        4.055302              4.055302              4.055302  4.021108      4.021108      4.021108   0.034194      0.034194      0.034194                   0.0                         0.0                         0.0  134.315373
90   2017-01-18  130.383066  111.080120   158.693506   130.383066   130.383066        4.442786              4.442786              4.442786  3.052514      3.052514      3.052514   1.390271      1.390271      1.390271                   0.0                         0.0                         0.0  134.825852
91   2017-01-19  130.506062  114.509356   160.251077   130.506062   130.506062        6.047083              6.047083              6.047083  3.327020      3.327020      3.327020   2.720063      2.720063      2.720063                   0.0                         0.0                         0.0  136.553145
92   2017-01-20  130.629057  113.572936   159.587645   130.629057   130.629057        6.476200              6.476200              6.476200  2.464035      2.464035      2.464035   4.012164      4.012164      4.012164                   0.0                         0.0                         0.0  137.105257
93   2017-01-23  130.998044  118.584485   166.496198   130.998044   130.998044       10.013301             10.013301             10.013301  2.452267      2.452267      2.452267   7.561034      7.561034      7.561034                   0.0                         0.0                         0.0  141.011345
94   2017-01-24  131.121040  120.514172   166.400386   131.121040   131.121040       12.628012             12.628012             12.628012  4.021108      4.021108      4.021108   8.606904      8.606904      8.606904                   0.0                         0.0                         0.0  143.749051
95   2017-01-25  131.244035  120.018419   167.493702   131.244035   131.244035       12.626315             12.626315             12.626315  3.052514      3.052514      3.052514   9.573801      9.573801      9.573801                   0.0                         0.0                         0.0  143.870350
96   2017-01-26  131.367031  122.571226   166.341421   131.367031   131.367031       13.784886             13.784886             13.784886  3.327020      3.327020      3.327020  10.457867     10.457867     10.457867                   0.0                         0.0                         0.0  145.151917
97   2017-01-27  131.490026  121.664706   167.528239   131.490026   131.490026       13.720978             13.720978             13.720978  2.464035      2.464035      2.464035  11.256943     11.256943     11.256943                   0.0                         0.0                         0.0  145.211005
98   2017-01-30  131.859013  125.211536   170.880688   131.859013   131.859013       15.600325             15.600325             15.600325  2.452267      2.452267      2.452267  13.148059     13.148059     13.148059                   0.0                         0.0                         0.0  147.459339
99   2017-01-31  131.982009  127.310722   172.554126   131.982009   131.982009       17.640103             17.640103             17.640103  4.021108      4.021108      4.021108  13.618995     13.618995     13.618995                   0.0                         0.0                         0.0  149.622112
100  2017-02-01  132.105004  125.703044   173.069124   132.105004   132.105004       17.070917             17.070917             17.070917  3.052514      3.052514      3.052514  14.018403     14.018403     14.018403                   0.0                         0.0                         0.0  149.175922
101  2017-02-02  132.228000  127.185973   175.148799   132.228000   132.228000       17.679971             17.679971             17.679971  3.327020      3.327020      3.327020  14.352951     14.352951     14.352951                   0.0                         0.0                         0.0  149.907971
102  2017-02-03  132.350996  126.003314   171.540264   132.350996   132.350996       17.094199             17.094199             17.094199  2.464035      2.464035      2.464035  14.630164     14.630164     14.630164                   0.0                         0.0                         0.0  149.445195
103  2017-02-06  132.719983  125.459233   172.764848   132.719983   132.719983       17.652628             17.652628             17.652628  2.452267      2.452267      2.452267  15.200361     15.200361     15.200361                   0.0                         0.0                         0.0  150.372610
104  2017-02-07  132.842978  129.081476   176.017369   132.842978   132.842978       19.352404             19.352404             19.352404  4.021108      4.021108      4.021108  15.331297     15.331297     15.331297                   0.0                         0.0                         0.0  152.195383
105  2017-02-08  132.965974  128.832590   174.839449   132.965974   132.965974       18.498460             18.498460             18.498460  3.052514      3.052514      3.052514  15.445946     15.445946     15.445946                   0.0                         0.0                         0.0  151.464434
106  2017-02-09  133.088969  129.345229   174.885970   133.088969   133.088969       18.878298             18.878298             18.878298  3.327020      3.327020      3.327020  15.551278     15.551278     15.551278                   0.0                         0.0                         0.0  151.967267
107  2017-02-10  133.211965  128.378481   174.188790   133.211965   133.211965       18.117300             18.117300             18.117300  2.464035      2.464035      2.464035  15.653265     15.653265     15.653265                   0.0                         0.0                         0.0  151.329265
108  2017-02-13  133.580952  127.717321   176.527939   133.580952   133.580952       18.432190             18.432190             18.432190  2.452267      2.452267      2.452267  15.979923     15.979923     15.979923                   0.0                         0.0                         0.0  152.013142
