Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
49   2016-11-17    34.850720   -40.566510    82.752601    34.850720    34.850720      -11.256989            -11.256989            -11.256989 -3.668538     -3.668538     -3.668538  -7.588451     -7.588451     -7.588451                   0.0                         0.0                         0.0    23.593731
50   2016-11-18    35.029870   -34.384298    84.428647    35.029870    35.029870      -10.136238            -10.136238            -10.136238 -4.229679     -4.229679     -4.229679  -5.906559     -5.906559     -5.906559                   0.0                         0.0                         0.0    24.893632
51   2016-11-21    35.567321   -25.150656    87.781345    35.567321    35.567321       -2.620395             -2.620395             -2.620395 -2.244307     -2.244307     -2.244307  -0.376088     -0.376088     -0.376088                   0.0                         0.0                         0.0    32.946927
52   2016-11-22    35.746471   -29.800922    92.433939    35.746471    35.746471       -1.295444             -1.295444             -1.295444 -2.851961     -2.851961     -2.851961   1.556517      1.556517      1.556517                   0.0                         0.0                         0.0    34.451028
53   2016-11-23    35.925622   -20.624371    97.312513    35.925622    35.925622        0.208572              0.208572              0.208572 -3.286707     -3.286707     -3.286707   3.495279      3.495279      3.495279                   0.0                         0.0                         0.0    36.134194
54   2016-11-25    36.283922   -16.520197   101.000949    36.283922    36.283922        3.069234              3.069234              3.069234 -4.229679     -4.229679     -4.229679   7.298913      7.298913      7.298913                   0.0                         0.0                         0.0    39.353157
55   2016-11-28    36.821373    -5.729688   105.404089    36.821373    36.821373       10.255786             10.255786             10.255786 -2.244307     -2.244307     -2.244307  12.500093     12.500093     12.500093                   0.0                         0.0                         0.0    47.077160
56   2016-11-29    37.000524   -11.781213   109.565073    37.000524    37.000524       11.174793             11.174793             11.174793 -2.851961     -2.851961     -2.851961  14.026754     14.026754     14.026754                   0.0                         0.0                         0.0    48.175317
57   2016-11-30    37.179674   -13.408651   104.309579    37.179674    37.179674       12.140167             12.140167             12.140167 -3.286707     -3.286707     -3.286707  15.426874     15.426874     15.426874                   0.0                         0.0                         0.0    49.319841
58   2016-12-01    37.358824    -9.994150   109.873133    37.358824    37.358824       13.022650             13.022650             13.022650 -3.668538     -3.668538     -3.668538  16.691188     16.691188     16.691188                   0.0                         0.0                         0.0    50.381474
